Model,Type,ACCUR,PREC,RECC,F1,BAL_ACCUR
LogisticRegression,Train,0.9016006739679865,0.8891373801916933,0.921523178807947,0.9050406504065042,0.9012418638465121
LogisticRegression,Test,0.927797833935018,0.9312977099236641,0.9172932330827067,0.9242424242424241,0.9273966165413534
DecisionTreeClassifier,Train,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,Test,0.8339350180505415,0.8129496402877698,0.849624060150376,0.8308823529411764,0.8345342522974102
ExtraTreeClassifier,Train,1.0,1.0,1.0,1.0,1.0
ExtraTreeClassifier,Test,0.8267148014440433,0.8512396694214877,0.7744360902255639,0.811023622047244,0.824718045112782
AdaBoostClassifier,Train,0.9081718618365627,0.915686933154182,0.9026490066225166,0.909121227280307,0.9082713300694059
AdaBoostClassifier,Test,0.8989169675090253,0.8888888888888888,0.9022556390977443,0.8955223880597015,0.8990444862155389
GradientBoostingClassifier,Train,0.9287278854254423,0.9321131447587354,0.9274834437086092,0.9297925311203319,0.9287502981836357
GradientBoostingClassifier,Test,0.9133574007220217,0.916030534351145,0.9022556390977443,0.9090909090909091,0.9129333751044277
RandomForestClassifier,Train,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier,Test,0.8953068592057761,0.9193548387096774,0.8571428571428571,0.8871595330739299,0.8938492063492063
